"#","N°","Nombre","Tx del coche","Vueltas","Lidera","Tiempo de vuelta","Veloc.","T° Transcurrido","Tm de pasos","Hits","Fuerza","Ruido","Tiempo en fotocélula","Backup Tx","Backup paso Tm","Clase","Borrado"
"1","","Bandera de Calentamiento","","","","","","","8:11:29.928","","","","","","","",""
"66","#10","Matias Ospina","14","5","5","2:06.415","28,5","10:38.503","8:32:14.028","57","80","21","","0","","125cc Junior (12 – 17 años)","No"
"67","#114","Miguel Angel Lopez","4","6","6","1:48.039","33,3","10:57.907","8:32:33.432","56","92","21","","0","","125cc Junior (12 – 17 años)","No"
"68","#111","Martin Ospina Cuello","9600460","6","6","1:49.301","32,9","11:03.085","8:32:38.610","57","96","21","","0","","125cc Junior (12 – 17 años)","No"
"69","#120","MATIAS GOMEZ ORJUELA","16617109","6","6","1:55.775","31,1","11:43.574","8:33:19.099","57","99","21","","0","","125cc Junior (12 – 17 años)","No"
"70","#222","Maximiliano Ramirez","6772247","6","6","1:53.300","31,8","11:49.023","8:33:24.548","57","97","21","","0","","125cc Junior (12 – 17 años)","No"
"71","#130","Santiago Gutierrez Castillo","2","6","6","1:59.595","30,1","12:02.788","8:33:38.313","52","96","21","","0","","125cc Junior (12 – 17 años)","No"
"72","#818","Santigo Ferro","1","6","6","2:06.046","28,6","12:17.543","8:33:53.068","67","95","23","","0","","125cc Junior (12 – 17 años)","No"
"73","#56","Nicolás Acosta Solano","26","6","6","2:05.612","28,7","12:42.192","8:34:17.717","61","92","23","","0","","125cc Junior (12 – 17 años)","No"
"74","#10","Matias Ospina","14","6","6","2:06.249","28,5","12:44.752","8:34:20.277","69","89","23","","0","","125cc Junior (12 – 17 años)","No"
"75","#114","Miguel Angel Lopez","4","7","7","1:48.264","33,3","12:46.171","8:34:21.696","56","93","23","","0","","125cc Junior (12 – 17 años)","No"
"76","#111","Martin Ospina Cuello","9600460","7","7","1:49.138","33,0","12:52.223","8:34:27.748","54","98","23","","0","","125cc Junior (12 – 17 años)","No"
"77","#120","MATIAS GOMEZ ORJUELA","16617109","7","7","1:54.002","31,6","13:37.576","8:35:13.101","58","99","21","","0","","125cc Junior (12 – 17 años)","No"
"78","#222","Maximiliano Ramirez","6772247","7","7","1:53.969","31,6","13:42.992","8:35:18.517","55","98","21","","0","","125cc Junior (12 – 17 años)","No"
"79","#130","Santiago Gutierrez Castillo","2","7","7","2:00.952","29,8","14:03.740","8:35:39.265","61","97","21","","0","","125cc Junior (12 – 17 años)","No"
"80","#818","Santigo Ferro","1","7","7","2:08.179","28,1","14:25.722","8:36:01.247","73","93","21","","0","","125cc Junior (12 – 17 años)","No"
"81","#114","Miguel Angel Lopez","4","8","8","1:48.988","33,0","14:35.159","8:36:10.684","55","91","21","","0","","125cc Junior (12 – 17 años)","No"
"82","#111","Martin Ospina Cuello","9600460","8","8","1:50.645","32,5","14:42.868","8:36:18.393","57","99","21","","0","","125cc Junior (12 – 17 años)","No"
"83","#10","Matias Ospina","14","7","8","2:08.004","28,1","14:52.756","8:36:28.281","72","84","21","","0","","125cc Junior (12 – 17 años)","No"
"84","#56","Nicolás Acosta Solano","26","7","8","2:22.999","25,2","15:05.191","8:36:40.716","65","89","21","","0","","125cc Junior (12 – 17 años)","No"
"85","#120","MATIAS GOMEZ ORJUELA","16617109","8","8","1:55.328","31,2","15:32.904","8:37:08.429","60","100","23","","0","","125cc Junior (12 – 17 años)","No"
"86","#222","Maximiliano Ramirez","6772247","8","8","1:53.218","31,8","15:36.210","8:37:11.735","56","99","23","","0","","125cc Junior (12 – 17 años)","No"
"87","#130","Santiago Gutierrez Castillo","2","8","8","2:13.779","26,9","16:17.519","8:37:53.044","65","100","21","","0","","125cc Junior (12 – 17 años)","No"
"88","","Bandera de finalización","","","","","","16:17.520","8:37:53.045","","","","","","","",""
"89","#114","Miguel Angel Lopez","4","9","9","1:50.423","32,6","16:25.582","8:38:01.107","71","96","21","","0","","125cc Junior (12 – 17 años)","No"
"90","#111","Martin Ospina Cuello","9600460","9","9","1:50.665","32,5","16:33.533","8:38:09.058","61","94","21","","0","","125cc Junior (12 – 17 años)","No"
"91","#818","Santigo Ferro","1","8","9","2:11.447","27,4","16:37.169","8:38:12.694","94","95","21","","0","","125cc Junior (12 – 17 años)","No"
"92","??","Manual  no asignado","","0","9","","0,0","","8:38:18.866","","","0","","","","","Yes"
"93","#10","Matias Ospina","14","8","9","2:09.131","27,9","17:01.887","8:38:37.412","75","92","21","","0","","125cc Junior (12 – 17 años)","No"
"94","#56","Nicolás Acosta Solano","26","8","9","2:08.589","28,0","17:13.780","8:38:49.305","65","87","21","","0","","125cc Junior (12 – 17 años)","No"
"95","#120","MATIAS GOMEZ ORJUELA","16617109","9","9","1:53.815","31,6","17:26.719","8:39:02.244","67","99","21","","0","","125cc Junior (12 – 17 años)","No"
"96","#222","Maximiliano Ramirez","6772247","9","9","1:52.077","32,1","17:28.287","8:39:03.812","60","99","21","","0","","125cc Junior (12 – 17 años)","No"
"97","#130","Santiago Gutierrez Castillo","2","9","9","1:59.461","30,1","18:16.980","8:39:52.505","52","91","21","","0","","125cc Junior (12 – 17 años)","No"
"98","","Carrera parada","","","","","","18:45.017","8:40:20.542","","","","","","","",""
